"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOT-23";1;"LM4040DBZ-2.0";;;
2;"R2,R19,R18,R17";"R_0603_1608Metric";4;"1K";;;
3;"C15";"C_0603_1608Metric";1;"4.7u";;;
4;"D3,D2,D1";"D_0603_1608Metric";3;"D";;;
5;"C13,C8,C12,C14";"C_0603_1608Metric";4;"2.2u";;;
6;"R11,R14,R13";"R_0603_1608Metric";3;"100";;;
7;"C9,C3,C7,C2,C6,C10,C5";"R_0603_1608Metric";7;"100nF";;;
8;"R3,R1";"R_0603_1608Metric";2;"87k";;;
9;"R5,R6";"R_0603_1608Metric";2;"10K";;;
10;"U8";"SOT-23-6";1;"DAC5571";;;
11;"U3";"WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias";1;"LM27762";;;
12;"J3";"AMPHENOL_132357-11-MOD";1;"Conn_Coaxial";;;
13;"FB2,FB1";"L_1206_3216Metric";2;"FerriteBead_Small";;;
14;"U4";"MSOP-10_3x3mm_P0.5mm";1;"ADG621";;;
15;"C18";"C_0603_1608Metric";1;"1p";;;
16;"IC1";"SOP65P640X120-28N";1;"ADC10080CIMT_NOPB";;;
17;"C1,C4";"R_0603_1608Metric";2;"4.7uF";;;
18;"R8";"R_1206_3216Metric";1;"47";;;
19;"C23";"C_0603_1608Metric";1;"160p";;;
20;"R12";"R_0603_1608Metric";1;"680k";;;
21;"C21";"C_0603_1608Metric";1;"10n";;;
22;"R7,R4";"R_0603_1608Metric";2;"50K";;;
23;"C22";"C_0603_1608Metric";1;"6.8p";;;
24;"C17,C20,C19,C16,C24";"C_0603_1608Metric";5;"100n";;;
25;"R9,R16";"R_1206_3216Metric";2;"100";;;
26;"J1";"PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left";1;"Conn_01x02_Male";;;
27;"U6";"SOT-23-5";1;"TPH2501";;;
28;"R10";"R_0603_1608Metric";1;"680";;;
29;"U5";"SOT-23-5";1;"OPA830";;;
30;"R15";"R_0603_1608Metric";1;"100k";;;
31;"U7";"SOT-23-5";1;"LMH6629";;;
32;"J2";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
33;"U1";"RPi_Pico_SMD";1;"Pico";;;
