Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",8.400000,25.460000,-90.000000,bottom
"U1","Pico","RPi_Pico_SMD",32.500000,12.000000,90.000000,bottom
"C1","22uF","C_0603_1608Metric",49.250000,19.500000,90.000000,top
"C2","100nF","C_0603_1608Metric",50.750000,19.500000,90.000000,top
"C3","22uF","C_0603_1608Metric",42.250000,19.500000,90.000000,top
"C4","22uF","C_0603_1608Metric",43.750000,19.500000,90.000000,top
"C5","100nF","C_0603_1608Metric",40.250000,17.250000,90.000000,top
"C6","100nF","C_0603_1608Metric",36.500000,13.250000,180.000000,top
"C7","100nF","C_0603_1608Metric",36.500000,8.250000,180.000000,top
"C8","2.2u","C_0603_1608Metric",24.000000,5.750000,180.000000,top
"C9","100n","C_0603_1608Metric",33.500000,16.250000,90.000000,top
"C10","1u","C_0603_1608Metric",31.750000,16.250000,90.000000,top
"C11","100nF","C_0603_1608Metric",36.500000,10.250000,180.000000,top
"C12","2.2u","C_0603_1608Metric",27.500000,12.000000,0.000000,top
"C13","2.2u","C_0603_1608Metric",21.750000,8.250000,-90.000000,top
"C14","2.2u","C_0603_1608Metric",31.660000,5.825000,0.000000,top
"C15","4.7u","C_0603_1608Metric",28.660000,5.250000,180.000000,top
"C16","100n","C_0603_1608Metric",12.250000,21.250000,180.000000,top
"C17","100n","C_0603_1608Metric",15.500000,11.000000,180.000000,top
"C18","1p","C_0603_1608Metric",12.250000,15.000000,0.000000,top
"C19","100n","C_0603_1608Metric",19.000000,11.000000,180.000000,top
"C20","100n","C_0603_1608Metric",24.250000,12.750000,180.000000,top
"C21","10n","C_0603_1608Metric",7.500000,15.000000,0.000000,top
"C22","6.8p","C_0603_1608Metric",11.500000,12.750000,-90.000000,top
"C23","160p","C_0603_1608Metric",29.750000,16.250000,90.000000,top
"C24","100n","C_0603_1608Metric",27.200000,21.400000,-90.000000,top
"C25","100n","C_0603_1608Metric",34.750000,18.750000,180.000000,top
"D1","D","D_0603_1608Metric",11.500000,19.000000,-90.000000,top
"D2","D","D_0603_1608Metric",13.000000,19.000000,90.000000,top
"D3","D","D_0603_1608Metric",30.100000,13.000000,-90.000000,top
"FB1","FerriteBead_Small","R_0603_1608Metric",47.750000,19.500000,-90.000000,top
"FB2","FerriteBead_Small","R_0603_1608Metric",45.250000,19.500000,-90.000000,top
"J1","Conn_01x02_Male","PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left",8.250000,12.500000,180.000000,top
"J3","Conn_Coaxial","AMPHENOL_132357-11-MOD",1.250000,15.000000,0.000000,top
"R1","87k","R_0603_1608Metric",23.410000,8.250000,-90.000000,top
"R2","10K","R_0603_1608Metric",49.250000,15.350000,0.000000,top
"R3","87k","R_0603_1608Metric",30.160000,8.325000,90.000000,top
"R4","50k","R_0603_1608Metric",31.660000,8.325000,90.000000,top
"R5","1k","R_0603_1608Metric",37.750000,18.750000,0.000000,top
"R7","50k","R_0603_1608Metric",24.910000,8.325000,-90.000000,top
"R8","47","R_0603_1608Metric",19.000000,6.000000,0.000000,top
"R9","100","R_0603_1608Metric",9.750000,8.500000,90.000000,top
"R10","680","R_0603_1608Metric",19.000000,9.500000,0.000000,top
"R11","100","R_0603_1608Metric",24.250000,18.750000,180.000000,top
"R12","680k","R_0603_1608Metric",12.250000,16.500000,0.000000,top
"R13","100","R_0603_1608Metric",27.850000,14.000000,0.000000,top
"R14","100","R_0603_1608Metric",21.500000,15.200000,-90.000000,top
"R15","100k","R_0603_1608Metric",13.000000,12.750000,90.000000,top
"R16","100","R_0603_1608Metric",19.000000,8.000000,0.000000,top
"R17","1k","R_0603_1608Metric",22.000000,11.750000,-90.000000,top
"R18","1k","R_0603_1608Metric",27.250000,16.250000,-90.000000,top
"R19","1k","R_0603_1608Metric",15.750000,17.000000,0.000000,top
"U2","ADC08100CIMTCX/NOPB(TSSOP-24)","TSSOP-24_4.4x7.8mm_P0.65mm",42.500000,11.750000,0.000000,top
"U3","LM27762","WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias",27.500000,8.250000,90.000000,top
"U4","ADG621","MSOP-10_3x3mm_P0.5mm",13.750000,7.250000,180.000000,top
"U5","OPA830","SOT-23-5",24.250000,15.750000,-90.000000,top
"U6","TPH2501","SOT-23-5",15.500000,14.000000,-90.000000,top
"U7","LMH6629","SOT-23-5",19.000000,14.000000,-90.000000,top
"U8","DAC5571","SOT-23-6",23.250000,21.250000,180.000000,top
"U9","TLV271","SOT-23-5",36.250000,16.250000,180.000000,top
"U10","LM4040DBZ-2.0","SOT-23",37.250000,21.500000,90.000000,top
